Having_IP_Address,URL_Length,Shortening_Service,Having_At_Symbol,Double_Slash_Redirecting,Prefix_Suffix,Having_Sub_Domain,SSLfinal_State,Domain_registeration_length,Favicon,HTTPS_Token,PctImageTags,PctAudioTags,PctVideoTags,PctTrackTags,PctSourceTags,PctIframeTags,URL_of_Anchor,PctMetaTags,PctScriptTags,PctLinkTags,SFH,Submit_to_Email,Abnormal Url,Port
1,16,1,1,1,1,1,-1.0,8766,1,1,2.86,0,0,0,0.0,100.0,1.351,50.0,42.308,10.526,0.0,1,1,0
1,15,-1,1,1,1,1,1.0,0,-1,1,38.89,0,0,0,0.0,0.0,97.826,100.0,100.0,100.0,0.0,1,0,0
1,23,1,1,1,1,1,0.0,6210,1,1,0.0,0,0,0,0.0,100.0,0.0,34.848,47.826,20.833,0.0,1,1,0
1,17,1,1,1,1,1,1.0,8401,-1,1,0.0,0,0,0,0.0,0.0,8.696,0.0,75.0,0.0,0.0,1,0,0
1,16,1,1,1,1,1,,0,-1,1,0.0,0,0,0,0.0,0.0,3.448,0.0,0.0,0.0,0.0,1,0,0
1,15,-1,1,1,1,1,0.0,1096,1,1,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,1,1,0
1,18,1,1,1,1,2,,8681,-1,1,97.67,0,0,0,0.0,0.0,13.343,79.221,88.889,75.0,0.0,1,1,0
1,21,0,1,1,1,1,0.0,0,-1,1,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0
1,16,1,1,1,1,1,1.0,10959,-1,1,0.0,0,0,0,0.0,0.0,1.487,0.0,0.0,40.0,0.0,1,1,0
-1,17,1,1,1,1,1,-1.0,4748,-1,1,0.0,0,0,0,0.0,0.0,60.0,0.0,66.667,20.0,0.0,1,1,0
1,17,1,1,1,1,1,1.0,9498,-1,1,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1,0
1,16,1,1,1,1,1,0.0,0,1,1,0.0,0,0,0,0.0,50.0,10.112,100.0,100.0,100.0,0.0,1,0,0
1,16,1,1,1,1,1,-1.0,0,1,1,4.08,0,0,0,0.0,0.0,1.429,18.75,70.833,7.143,0.0,1,0,0
1,15,1,1,1,1,2,1.0,8766,1,1,0.0,0,0,0,0.0,12.5,40.052,0.0,100.0,25.0,0.0,1,1,0
1,17,-1,1,1,1,1,-1.0,7837,1,1,0.0,0,0,0,0.0,100.0,4.523,12.925,13.333,4.348,0.0,1,1,0
1,13,1,1,1,1,1,,8765,1,1,17.65,0,0,0,0.0,0.0,1.379,8.333,14.286,14.286,0.0,1,1,0
1,18,-1,1,1,1,1,,3653,1,1,18.52,0,0,0,0.0,0.0,26.316,27.273,38.462,13.333,0.0,1,1,0
1,17,1,1,1,1,1,1.0,7305,-1,1,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1,0
1,20,1,1,1,1,1,0.0,7305,1,1,14.81,0,0,0,0.0,0.0,1.053,13.548,11.429,0.0,0.0,1,1,0
1,18,1,1,1,1,1,0.0,0,1,1,45.65,0,0,0,0.0,100.0,8.929,31.746,25.641,29.412,0.0,1,0,0
1,18,-1,1,1,1,1,1.0,10228,1,1,0.0,0,0,0,0.0,0.0,100.0,0.0,33.333,0.0,0.0,1,1,0
1,28,1,1,1,1,1,0.0,4748,1,1,51.52,0,0,0,0.0,0.0,8.434,14.516,18.421,4.545,0.0,1,1,0
1,15,-1,1,1,1,1,-1.0,6209,1,1,0.0,0,0,0,0.0,0.0,24.648,0.0,0.0,0.0,0.0,1,1,0
