Having_IP_Address,URL_Length,Shortening_Service,Having_At_Symbol,Double_Slash_Redirecting,Prefix_Suffix,Having_Sub_Domain,SSLfinal_State,Domain_registeration_length,Favicon,HTTPS_Token,PctImageTags,PctAudioTags,PctVideoTags,PctTrackTags,PctSourceTags,PctIframeTags,URL_of_Anchor,PctMetaTags,PctScriptTags,PctLinkTags,SFH,Submit_to_Email,Abnormal Url,Port
1,18,1,1,1,1,2,1.0,0,1,1,0.0,0,0.0,0.0,0.0,100.0,6.897,0.0,81.818,0.0,0.0,1,0,0
1,22,1,1,1,1,2,-1.0,2192,-1,1,60.0,0,0.0,0.0,0.0,0.0,19.231,72.603,81.818,75.0,0.0,1,1,0
1,17,1,1,1,1,1,,3652,1,1,2.78,0,0.0,0.0,0.0,0.0,1.155,87.5,100.0,80.0,0.0,1,1,0
1,20,1,1,1,1,1,1.0,5114,1,1,69.81,0,0.0,0.0,0.0,0.0,5.172,20.0,42.857,100.0,0.0,1,1,0
1,18,-1,1,1,1,1,1.0,7946,-1,1,0.0,0,0.0,0.0,0.0,0.0,2.994,0.0,0.0,55.0,0.0,1,1,0
1,15,1,1,1,1,1,-1.0,5844,1,1,0.0,0,0.0,0.0,0.0,0.0,6.452,0.0,28.571,20.0,0.0,1,1,0
1,22,1,1,1,1,1,0.0,3652,1,1,100.0,0,0.0,0.0,0.0,0.0,15.126,57.143,52.381,62.069,0.0,1,1,0
1,19,0,1,1,1,1,0.0,0,0,1,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0
-1,17,-1,1,1,1,1,0.0,4383,1,1,0.0,0,0.0,0.0,0.0,100.0,3.797,20.0,60.0,30.0,0.0,1,1,0
1,17,1,1,1,1,1,0.0,0,1,1,57.32,0,0.0,0.0,0.0,100.0,5.275,41.176,63.636,60.0,0.0,1,0,0
1,16,1,1,1,1,1,1.0,8036,1,1,0.0,0,0.0,0.0,0.0,0.0,6.138,32.0,50.0,0.0,0.0,-1,1,0
1,20,1,1,1,1,1,-1.0,731,1,1,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,100.0,0.0,0,1,0
1,17,1,1,1,1,1,0.0,1096,-1,1,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1,0
1,21,1,1,1,1,1,-1.0,4383,1,1,28.57,0,0.0,0.0,0.0,100.0,61.017,0.0,66.667,80.0,0.0,1,1,0
1,22,1,1,1,1,1,1.0,12052,1,1,0.0,0,0.0,0.0,0.0,0.0,22.727,25.0,100.0,50.0,0.0,1,1,0
1,15,1,1,1,1,1,,7670,-1,1,0.0,0,0.0,0.0,0.0,0.0,7.792,54.545,66.667,0.0,0.0,1,1,0
1,19,1,1,1,1,1,,3287,-1,1,0.0,0,0.0,0.0,0.0,0.0,35.211,100.0,100.0,71.429,100.0,1,1,0
1,14,1,1,1,1,1,-1.0,2557,-1,1,0.0,0,0.0,0.0,0.0,0.0,9.091,0.0,90.909,100.0,0.0,1,1,0
1,21,1,1,1,1,1,1.0,9723,1,1,83.33,0,0.0,0.0,0.0,0.0,75.904,50.0,100.0,100.0,0.0,1,1,0
1,15,1,1,1,1,1,-1.0,3287,1,1,100.0,0,0.0,0.0,100.0,0.0,5.128,32.258,30.0,75.0,0.0,1,1,0
1,16,-1,1,1,1,1,1.0,0,-1,1,50.0,0,0.0,0.0,0.0,0.0,78.571,0.0,0.0,0.0,0.0,1,0,0
-1,21,1,1,1,1,1,0.0,0,1,1,33.33,0,0.0,0.0,26.67,0.0,28.505,100.0,96.154,91.304,0.0,1,1,0
1,21,1,1,1,1,1,0.0,8270,1,1,10.0,0,0.0,0.0,0.0,100.0,6.098,0.0,75.0,100.0,0.0,1,1,0
1,16,1,1,1,1,1,,6209,-1,1,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1,0
1,28,1,1,1,1,2,,0,1,1,0.0,0,0.0,0.0,0.0,0.0,13.121,75.871,88.889,79.365,0.0,1,0,0
1,17,0,1,1,1,1,0.0,0,0,1,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0
1,20,1,1,1,1,1,,7305,-1,1,85.71,0,0.0,0.0,0.0,100.0,94.545,60.784,61.538,75.0,0.0,1,1,0
1,17,1,1,1,1,1,1.0,3653,-1,1,3.09,0,0.0,0.0,0.0,50.0,10.363,76.471,100.0,13.333,0.0,1,1,0
1,14,1,1,1,1,1,1.0,10413,-1,1,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1,0
1,24,1,1,1,1,1,,7305,-1,1,0.0,0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,100.0,0.0,1,1,0
1,18,0,1,1,1,1,0.0,8400,0,1,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1,0
1,22,1,1,1,1,1,,6575,1,1,0.0,0,0.0,0.0,0.0,0.0,9.091,0.0,60.0,85.714,0.0,1,1,0
1,21,1,1,1,1,1,0.0,2922,1,1,0.0,0,0.0,0.0,0.0,0.0,0.0,20.0,100.0,11.111,0.0,0,1,0
1,17,1,1,1,1,2,0.0,6940,-1,1,6.67,0,0.0,0.0,0.0,0.0,37.778,0.0,83.333,0.0,0.0,1,1,0
1,21,0,1,1,1,2,0.0,0,0,1,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0
1,20,1,1,1,1,1,1.0,3287,-1,1,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1,0
1,21,-1,1,1,1,2,1.0,0,1,1,0.0,0,0.0,0.0,0.0,0.0,36.25,0.0,33.333,61.224,0.0,1,0,0
1,18,0,1,1,1,2,0.0,0,0,1,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0
1,21,0,1,1,1,1,0.0,8400,0,1,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1,0
1,19,1,1,1,1,1,0.0,0,1,1,92.59,0,0.0,0.0,0.0,0.0,3.704,21.818,25.0,30.0,0.0,1,0,0
1,17,0,1,1,1,1,0.0,2191,0,1,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0
1,24,1,1,1,1,1,-1.0,3652,1,1,2.63,0,0.0,0.0,0.0,33.33,6.077,75.0,80.0,95.0,0.0,1,1,0
-1,24,1,1,1,1,1,0.0,0,-1,1,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0
1,18,1,1,1,1,1,,4383,1,1,0.0,0,100.0,0.0,0.0,0.0,10.556,100.0,37.037,72.727,0.0,1,1,0
-1,18,1,1,1,1,1,0.0,5844,-1,1,0.0,0,0.0,0.0,0.0,0.0,36.697,0.0,0.0,100.0,0.0,1,1,0
1,15,1,1,1,1,1,0.0,0,-1,1,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0
1,17,1,1,1,1,2,0.0,9862,-1,1,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1,0
1,19,1,1,1,1,1,-1.0,7654,1,1,51.92,0,0.0,0.0,0.0,0.0,23.789,18.274,10.938,25.0,0.0,1,1,0
1,16,1,1,1,1,1,0.0,6575,1,1,2.7,0,0.0,0.0,0.0,0.0,1.124,100.0,100.0,91.837,0.0,1,1,0
1,18,0,1,1,1,1,0.0,0,0,1,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0
1,17,1,1,1,1,1,-1.0,2922,-1,1,50.0,0,0.0,0.0,0.0,0.0,3.67,40.0,37.5,30.0,0.0,1,1,0
1,24,1,1,1,1,2,,0,1,1,0.0,0,0.0,0.0,0.0,0.0,4.132,12.821,0.0,8.333,0.0,1,0,0
1,20,1,1,1,1,1,0.0,2192,1,1,99.83,0,0.0,0.0,0.0,0.0,98.963,0.0,100.0,60.0,0.0,1,1,0
1,23,1,1,1,1,1,0.0,0,1,1,0.0,0,0.0,0.0,0.0,100.0,19.162,17.222,19.231,8.696,0.0,1,1,0
1,37,0,1,1,1,1,1.0,4018,0,1,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1,0
1,18,1,1,1,1,1,1.0,2922,1,1,7.14,0,0.0,0.0,0.0,0.0,2.451,0.0,100.0,100.0,0.0,1,1,0
1,15,1,1,1,1,1,0.0,8036,1,1,0.0,0,0.0,0.0,0.0,0.0,1.685,54.545,36.364,50.0,0.0,1,1,0
-1,19,-1,1,1,1,1,-1.0,731,-1,1,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1,0
1,16,1,1,1,1,1,0.0,0,1,1,50.34,0,0.0,0.0,0.0,0.0,9.254,0.0,79.545,20.0,0.0,1,0,0
1,21,0,1,1,1,1,,0,0,1,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0
1,27,1,1,1,1,1,0.0,1096,-1,1,0.0,0,0.0,0.0,0.0,0.0,8.333,18.182,25.0,0.0,0.0,1,1,0
1,27,1,1,1,1,1,-1.0,2922,0,1,2.11,0,0.0,0.0,0.0,0.0,3.734,25.778,25.714,20.0,0.0,1,1,0
1,21,1,1,1,1,1,,4748,1,1,7.61,0,0.0,0.0,0.0,100.0,13.014,10.256,25.0,72.222,0.0,1,1,0
1,30,1,1,1,1,2,1.0,0,-1,1,0.0,0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,100.0,0.0,1,0,0
1,18,1,1,1,1,2,-1.0,0,1,1,0.0,0,0.0,0.0,0.0,0.0,58.824,100.0,0.0,16.667,0.0,1,0,0
-1,24,1,1,1,1,1,0.0,0,-1,1,100.0,0,0.0,0.0,0.0,0.0,27.174,0.0,100.0,100.0,0.0,1,0,0
1,13,-1,1,1,1,1,0.0,731,-1,1,100.0,0,0.0,0.0,0.0,0.0,100.0,0.0,100.0,100.0,0.0,-1,1,0
1,17,1,1,1,1,1,0.0,6209,1,1,100.0,0,0.0,0.0,100.0,0.0,5.72,81.25,78.571,0.0,0.0,1,0,0
1,23,-1,1,1,1,1,-1.0,9861,1,1,0.0,0,0.0,0.0,0.0,0.0,74.586,0.0,100.0,100.0,0.0,1,1,0
1,18,0,1,1,1,2,0.0,0,0,1,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0
1,23,0,1,1,1,1,0.0,5479,0,1,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1,0
1,21,1,1,1,1,2,1.0,8401,-1,1,0.0,0,0.0,0.0,0.0,0.0,24.625,0.0,2.97,0.0,0.0,1,1,0
1,15,1,1,1,1,1,-1.0,6940,-1,1,0.0,0,0.0,0.0,0.0,0.0,28.571,0.0,100.0,0.0,0.0,1,1,0
1,20,1,1,1,1,1,,6575,1,1,6.06,0,0.0,0.0,0.0,0.0,56.25,0.0,0.0,100.0,0.0,1,1,0
1,19,1,1,1,1,1,,0,-1,1,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0
