Having_IP_Address,URL_Length,Shortening_Service,Having_At_Symbol,Double_Slash_Redirecting,Prefix_Suffix,Having_Sub_Domain,SSLfinal_State,Domain_registeration_length,Favicon,HTTPS_Token,PctImageTags,PctAudioTags,PctVideoTags,PctTrackTags,PctSourceTags,PctIframeTags,URL_of_Anchor,PctMetaTags,PctScriptTags,PctLinkTags,SFH,Submit_to_Email,Abnormal Url,Port
-1,13,1,1,1,1,1,,4747,1,1,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1,0
1,15,1,1,1,1,1,1.0,8036,1,1,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1,0
1,17,1,1,1,1,1,,6209,1,1,0.0,0,0.0,0,0.0,0.0,0.0,0.0,100.0,85.714,0.0,1,1,0
1,23,1,1,1,1,1,0.0,4383,-1,1,0.0,0,0.0,0,0.0,0.0,100.0,0.0,0.0,100.0,0.0,1,1,0
1,30,0,1,1,1,1,0.0,731,0,1,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1,0
1,19,1,1,1,1,1,1.0,0,1,1,0.0,0,0.0,0,0.0,0.0,18.359,0.0,37.5,100.0,33.33333333333333,1,1,0
1,18,1,1,1,1,1,0.0,6052,1,1,0.0,0,0.0,0,0.0,100.0,5.263,37.931,57.143,85.714,0.0,1,1,0
1,19,1,1,1,1,1,1.0,9495,1,1,95.45,0,0.0,0,0.0,100.0,5.405,40.678,42.857,48.148,0.0,1,1,0
1,22,0,1,1,1,1,0.0,366,0,1,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1,0
1,20,1,1,1,1,1,-1.0,0,1,1,42.48,0,0.0,0,0.0,0.0,31.818,10.0,57.143,46.429,0.0,1,0,0
1,25,1,1,1,1,1,,0,1,1,0.0,0,0.0,0,0.0,0.0,16.518,75.983,88.889,79.365,0.0,1,0,0
1,21,1,1,1,1,1,0.0,0,1,1,0.0,0,0.0,0,0.0,100.0,9.195,0.0,60.0,0.0,0.0,1,0,0
1,19,1,1,1,1,1,-1.0,4018,1,1,0.0,0,0.0,0,0.0,0.0,31.818,0.0,100.0,66.667,0.0,1,1,0
1,16,-1,1,1,1,1,-1.0,1461,-1,1,50.0,0,0.0,0,0.0,0.0,78.571,0.0,0.0,0.0,0.0,1,1,0
1,22,1,1,1,1,1,0.0,0,1,1,99.24,0,0.0,0,0.0,0.0,7.292,15.385,60.0,0.0,0.0,1,0,0
1,15,1,1,1,1,1,,4017,1,1,62.5,0,0.0,0,0.0,0.0,39.264,0.0,75.0,71.429,0.0,1,1,0
1,16,1,1,1,1,1,1.0,7669,1,1,0.0,0,0.0,0,0.0,0.0,41.667,0.0,21.429,14.286,0.0,1,1,0
1,24,1,1,1,1,1,1.0,9130,1,1,9.16,0,0.0,0,0.0,0.0,10.32,0.0,66.667,100.0,0.0,1,1,0
1,14,1,1,1,1,1,0.0,2556,-1,1,0.0,0,0.0,0,0.0,0.0,100.0,0.0,0.0,100.0,0.0,1,0,0
1,21,0,1,1,1,1,0.0,4383,0,1,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1,0
1,19,1,1,1,1,1,,0,1,1,72.73,0,0.0,0,0.0,0.0,13.333,24.0,23.077,41.176,0.0,1,0,0
1,14,0,1,1,1,1,-1.0,0,0,1,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0
1,17,1,1,1,1,1,,0,1,1,52.94,0,0.0,0,0.0,100.0,2.778,0.0,20.833,9.091,0.0,1,0,0
1,32,1,1,1,1,1,,0,-1,1,100.0,0,0.0,0,0.0,0.0,10.784,0.0,100.0,100.0,0.0,1,0,0
1,16,1,1,1,1,1,,1461,-1,1,100.0,0,0.0,0,0.0,0.0,0.0,100.0,0.0,100.0,0.0,0,1,0
1,16,1,1,1,1,1,1.0,8036,1,1,30.56,0,0.0,0,0.0,100.0,6.599,18.978,18.182,13.953,0.0,1,1,0
1,15,1,1,1,1,1,1.0,9498,-1,1,0.0,0,0.0,0,0.0,0.0,100.0,0.0,0.0,100.0,0.0,1,1,0
1,23,1,1,1,1,1,,10591,1,1,77.42,0,0.0,0,0.0,0.0,14.058,0.0,32.353,80.0,0.0,1,1,0
1,18,1,1,1,1,1,0.0,0,1,1,37.5,0,0.0,0,0.0,50.0,10.494,76.19,93.333,25.0,0.0,1,0,0
1,16,1,1,1,1,1,-1.0,5844,1,1,0.0,0,0.0,0,0.0,0.0,8.333,0.0,100.0,81.25,0.0,1,1,0
1,26,-1,1,1,1,2,,8399,1,1,100.0,0,0.0,0,0.0,0.0,4.762,0.0,87.5,100.0,0.0,1,1,0
1,16,1,1,1,1,2,1.0,0,1,1,96.3,0,0.0,0,0.0,100.0,85.714,0.0,100.0,100.0,0.0,1,0,0
1,18,1,1,1,1,1,0.0,7670,-1,1,0.0,0,0.0,0,0.0,0.0,100.0,0.0,0.0,100.0,0.0,1,1,0
1,21,1,1,1,1,1,0.0,1826,1,1,0.0,0,0.0,0,0.0,0.0,16.418,45.455,25.0,23.684,0.0,1,1,0
1,18,-1,1,1,1,1,0.0,0,-1,1,4.0,0,0.0,0,0.0,0.0,3.722,100.0,30.435,52.0,0.0,1,0,0
1,15,-1,1,1,1,1,-1.0,0,-1,1,0.0,0,0.0,0,0.0,0.0,0.21,84.0,100.0,83.333,0.0,1,0,0
1,18,-1,1,1,1,1,1.0,0,-1,1,0.0,0,0.0,0,0.0,0.0,60.87,0.0,83.784,78.571,0.0,1,0,0
1,14,1,1,1,1,1,-1.0,10228,1,1,0.0,0,0.0,0,0.0,0.0,5.42,66.667,33.333,12.0,0.0,1,1,0
1,20,-1,1,1,1,1,1.0,8765,1,1,1.15,0,0.0,0,0.0,0.0,55.102,0.0,100.0,90.0,0.0,1,1,0
1,15,1,1,1,1,1,,0,1,1,0.0,0,0.0,0,0.0,100.0,7.516,16.667,15.385,78.947,0.0,1,0,0
1,19,1,1,1,1,1,0.0,1096,1,1,0.0,0,0.0,0,0.0,0.0,4.955,16.667,77.778,69.565,0.0,1,1,0
1,21,1,1,1,1,1,,0,1,1,0.0,0,0.0,0,0.0,100.0,18.667,0.0,50.0,35.714,0.0,1,0,0
1,19,1,1,1,1,1,0.0,1096,-1,1,0.0,0,0.0,0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,1,1,0
-1,20,1,1,1,1,1,0.0,4018,1,1,1.64,0,0.0,0,0.0,0.0,7.418,2.41,26.667,0.0,0.0,1,1,0
1,17,1,1,1,1,1,,0,-1,1,100.0,0,0.0,0,0.0,100.0,10.87,0.0,83.333,100.0,0.0,1,1,0
1,24,1,1,1,1,1,1.0,1826,1,1,1.45,0,0.0,0,0.0,0.0,3.955,11.111,10.714,37.5,0.0,1,1,0
1,23,1,1,1,1,1,0.0,0,1,1,17.65,0,0.0,0,0.0,100.0,25.0,33.641,37.255,11.111,0.0,1,0,0
1,19,-1,1,1,1,1,1.0,0,1,1,45.45,0,0.0,0,0.0,0.0,14.0,0.0,16.667,77.778,0.0,1,1,0
1,30,1,1,1,1,2,0.0,0,-1,1,0.88,0,0.0,0,0.0,0.0,5.65,25.743,53.846,7.143,0.0,1,0,0
1,21,1,1,1,1,1,0.0,1461,-1,1,0.0,0,0.0,0,0.0,0.0,100.0,0.0,0.0,100.0,0.0,1,1,0
1,19,-1,1,1,1,1,,0,1,1,0.0,0,0.0,0,0.0,0.0,8.911,27.5,54.545,0.0,0.0,1,0,0
-1,15,1,1,1,1,1,1.0,7305,-1,1,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1,0
-1,13,0,1,1,1,1,1.0,7305,0,1,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1,0
1,16,1,1,1,1,1,1.0,0,1,1,66.67,0,0.0,0,0.0,0.0,76.923,0.0,0.0,50.0,0.0,1,0,0
1,24,-1,1,1,1,2,1.0,0,1,1,0.0,0,0.0,0,0.0,0.0,19.672,0.0,100.0,93.75,0.0,1,0,0
1,17,-1,1,1,1,1,1.0,9496,1,1,0.0,0,0.0,0,50.0,100.0,11.702,0.0,100.0,7.692,0.0,1,1,0
1,19,-1,1,1,1,1,1.0,0,1,1,5.71,0,0.0,0,0.0,0.0,3.226,8.308,67.857,50.0,0.0,1,0,0
1,14,1,1,1,1,1,,5479,1,1,0.91,0,0.0,0,0.0,0.0,6.954,0.0,28.571,0.0,0.0,1,1,0
1,23,1,1,1,1,1,0.0,4018,1,1,0.0,0,0.0,0,0.0,100.0,22.747,8.696,11.111,72.727,0.0,1,1,0
1,17,1,1,1,1,1,,5114,1,1,6.9,0,0.0,0,0.0,0.0,8.108,0.0,75.0,88.889,0.0,1,1,0
-1,13,1,1,1,1,1,,0,1,1,60.0,0,0.0,0,0.0,0.0,9.524,84.375,100.0,93.333,0.0,1,0,0
1,23,0,1,1,1,1,0.0,0,0,1,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0
1,17,0,1,1,1,1,0.0,1461,0,1,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1,0
1,30,1,1,1,1,1,,2922,1,1,0.0,0,0.0,0,56.67,100.0,7.619,90.476,100.0,96.154,0.0,1,1,0
1,21,1,1,1,1,2,-1.0,0,-1,1,46.9,0,0.0,0,0.0,0.0,1.932,0.0,75.0,100.0,0.0,1,0,0
1,18,-1,1,1,1,1,,2922,1,1,0.0,0,0.0,0,0.0,100.0,38.966,3.763,100.0,36.364,0.0,1,1,0
1,23,1,1,1,1,1,-1.0,8122,1,1,0.0,0,0.0,0,0.0,100.0,5.452,81.416,50.0,93.333,0.0,1,1,0
1,20,-1,1,1,1,1,,0,-1,1,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,-1,0
1,19,1,1,1,1,1,1.0,6828,1,1,5.0,0,0.0,0,0.0,100.0,10.484,26.0,28.125,38.095,0.0,1,1,0
1,23,1,1,1,1,1,0.0,9496,-1,1,100.0,0,0.0,0,0.0,0.0,2.837,25.641,90.476,7.692,0.0,1,1,0
1,23,1,1,1,1,1,0.0,0,1,1,92.86,0,0.0,0,0.0,0.0,42.353,0.0,0.0,50.0,0.0,1,0,0
1,21,1,1,1,1,1,-1.0,4018,1,1,100.0,0,0.0,0,0.0,0.0,83.571,0.0,100.0,100.0,0.0,1,1,0
1,26,-1,1,1,1,2,-1.0,8765,1,1,100.0,0,0.0,0,0.0,0.0,93.182,0.0,84.211,80.0,0.0,1,1,0
1,16,1,1,1,1,1,0.0,3287,-1,1,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1,0
1,19,1,1,1,1,1,,4748,1,1,66.67,0,0.0,0,0.0,0.0,28.571,0.0,60.0,0.0,0.0,1,1,0
1,14,1,1,1,1,1,1.0,11687,1,1,11.11,0,0.0,0,0.0,0.0,11.268,0.0,25.0,38.462,0.0,1,1,0
1,20,1,1,1,1,2,,0,-1,1,0.0,0,0.0,0,0.0,0.0,3.448,0.0,0.0,0.0,0.0,1,0,0
-1,21,1,1,1,1,1,0.0,2192,1,1,0.0,0,0.0,0,0.0,0.0,0.402,0.0,44.444,11.111,0.0,1,0,0
1,20,1,1,1,1,1,0.0,731,1,1,99.24,0,0.0,0,0.0,0.0,7.292,15.385,60.0,0.0,0.0,1,1,0
1,22,1,1,1,1,1,0.0,0,1,1,0.19,0,0.0,0,0.0,100.0,0.178,0.0,47.222,56.522,0.0,1,0,0
1,24,1,1,1,1,1,0.0,7305,1,1,0.0,0,0.0,0,0.0,100.0,7.205,70.0,24.359,38.462,100.0,-1,1,0
1,16,1,1,1,1,1,,0,1,1,0.0,0,0.0,0,0.0,0.0,25.0,33.333,100.0,28.571,0.0,1,1,0
1,12,1,1,1,1,1,0.0,0,1,1,0.0,0,0.0,0,0.0,0.0,0.0,100.0,42.857,9.091,0.0,1,0,0
