Having_IP_Address,URL_Length,Shortening_Service,Having_At_Symbol,Double_Slash_Redirecting,Prefix_Suffix,Having_Sub_Domain,SSLfinal_State,Domain_registeration_length,Favicon,HTTPS_Token,PctImageTags,PctAudioTags,PctVideoTags,PctTrackTags,PctSourceTags,PctIframeTags,URL_of_Anchor,PctMetaTags,PctScriptTags,PctLinkTags,SFH,Submit_to_Email,Abnormal Url,Port,category
-1,24,-1,1,1,1,1,0.0,4018,1,1,0.0,0.0,0.0,0.0,0.0,100.0,18.182,100.0,100.0,100.0,0.0,1,1,0,Fake
-1,111,-1,1,1,1,2,,11322,-1,1,100.0,0.0,0.0,0.0,0.0,0.0,400.0,0.0,100.0,100.0,0.0,1,1,0,Fake
-1,35,1,1,1,1,2,-1.0,1096,-1,1,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,100.0,0.0,0,1,0,Fake
-1,33,1,1,1,1,2,-1.0,1096,-1,1,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,100.0,0.0,0,1,0,Fake
-1,31,1,1,1,1,1,,1461,1,1,100.0,0.0,0.0,0.0,0.0,0.0,107.619,100.0,100.0,100.0,0.0,1,1,0,Fake
1,42,1,1,1,1,1,,1461,1,1,100.0,0.0,0.0,0.0,0.0,0.0,52.679,100.0,82.353,100.0,0.0,1,1,0,Fake
-1,53,1,1,1,1,4,,0,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0,0,0,Fake
-1,49,1,1,1,1,4,,7670,-1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0,1,0,Fake
1,27,1,1,1,1,1,,1096,-1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1,0,Fake
1,41,1,1,1,1,1,,365,-1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1,0,Fake
1,35,1,1,1,1,3,,0,1,1,0.0,0.0,0.0,0.0,0.0,0.0,3.846,13.636,5.556,23.529,0.0,1,0,0,Fake
1,44,1,1,1,1,1,,1461,1,1,35.71,0.0,0.0,0.0,0.0,0.0,52.273,100.0,0.0,16.667,0.0,1,1,0,Fake
1,52,1,1,1,1,2,,11322,1,1,0.0,0.0,0.0,0.0,0.0,0.0,28.571,0.0,68.966,80.0,0.0,1,1,0,Fake
1,46,-1,1,1,1,2,,11322,-1,1,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1,1,0,Fake
1,21,1,1,1,1,1,-1.0,3653,-1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,1,1,0,Fake
-1,23,1,1,1,1,1,-1.0,1461,-1,1,100.0,0.0,0.0,0.0,0.0,100.0,72.727,0.0,100.0,100.0,0.0,1,1,0,Fake
-1,102,-1,1,1,1,2,0.0,7670,1,1,0.0,0.0,0.0,0.0,0.0,100.0,18.571,0.0,100.0,100.0,0.0,1,1,0,Fake
-1,59,1,1,1,1,3,,1461,-1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1,0,Fake
-1,91,-1,-1,1,-1,3,-1.0,4017,-1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,100.0,0.0,1,1,0,Fake
-1,22,-1,1,1,1,1,1.0,5113,1,1,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,100.0,0.0,1,1,0,Fake
1,77,1,1,1,1,2,0.0,2557,-1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0,1,0,Fake
-1,32,1,1,1,1,2,1.0,2191,1,1,100.0,0.0,0.0,0.0,0.0,0.0,100.0,100.0,100.0,100.0,0.0,1,1,0,Fake
-1,121,1,1,1,1,5,0.0,5479,-1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0,1,0,Fake
-1,120,-1,1,1,1,5,0.0,5479,-1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0,1,0,Fake
-1,45,1,1,1,1,2,0.0,4748,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,100.0,0.0,0,1,0,Fake
1,32,1,1,1,1,2,-1.0,3287,-1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1,0,Fake
1,38,1,1,1,1,2,-1.0,2987,1,1,2.7,0.0,0.0,0.0,0.0,0.0,1.897,33.333,21.429,25.0,50.0,1,1,0,Fake
1,109,1,-1,1,1,2,0.0,5114,-1,1,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0,1,0,Fake
1,62,1,1,1,1,1,1.0,2557,-1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0,1,0,Fake
1,110,1,-1,1,1,2,0.0,5114,-1,1,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0,1,0,Fake
1,30,-1,1,1,1,1,-1.0,2922,1,1,0.0,0.0,0.0,0.0,0.0,0.0,29.032,0.0,0.0,15.385,0.0,1,1,0,Fake
1,29,-1,1,1,1,1,-1.0,2922,1,1,0.0,0.0,0.0,0.0,0.0,0.0,29.032,0.0,0.0,15.385,0.0,1,1,0,Fake
-1,38,1,1,1,1,2,,0,-1,1,100.0,0.0,0.0,0.0,0.0,0.0,100.0,100.0,100.0,100.0,0.0,1,0,0,Fake
-1,99,-1,1,1,1,2,,11322,-1,1,100.0,0.0,0.0,0.0,0.0,0.0,400.0,0.0,100.0,100.0,0.0,1,1,0,Fake
-1,62,1,1,1,1,4,0.0,0,-1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,Fake
