Having_IP_Address,URL_Length,Shortening_Service,Having_At_Symbol,Double_Slash_Redirecting,Prefix_Suffix,Having_Sub_Domain,SSLfinal_State,Domain_registeration_length,Favicon,HTTPS_Token,PctImageTags,PctAudioTags,PctVideoTags,PctTrackTags,PctSourceTags,PctIframeTags,URL_of_Anchor,PctMetaTags,PctScriptTags,PctLinkTags,SFH,Submit_to_Email,Abnormal Url,Port
-1,38,1,1,1,1,5,1.0,0,1,1,100.0,0,0,0,0,0.0,0.0,0.0,0.0,100.0,0.0,0,0,0
-1,91,-1,1,1,1,6,1.0,0,1,1,100.0,0,0,0,0,0.0,0.0,0.0,0.0,100.0,0.0,0,0,0
1,22,1,1,1,1,1,,366,-1,1,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,1,0
-1,23,1,1,1,1,2,0.0,4383,-1,1,0.0,0,0,0,0,0.0,0.0,50.0,0.0,100.0,0.0,0,1,0
-1,157,1,1,1,1,1,-1.0,2192,-1,1,0.0,0,0,0,0,0.0,13.333,0.0,0.0,18.182,0.0,1,1,0
-1,236,1,1,1,1,1,-1.0,2192,-1,1,0.0,0,0,0,0,0.0,13.333,0.0,0.0,18.182,0.0,1,1,0
-1,262,1,1,1,1,1,-1.0,2192,-1,1,0.0,0,0,0,0,0.0,13.333,0.0,0.0,18.182,0.0,1,1,0
-1,183,1,1,1,1,1,-1.0,2192,-1,1,0.0,0,0,0,0,0.0,13.333,0.0,0.0,18.182,0.0,1,1,0
-1,301,1,1,1,1,1,-1.0,2192,-1,1,0.0,0,0,0,0,0.0,13.333,0.0,0.0,18.182,0.0,1,1,0
-1,222,1,1,1,1,1,-1.0,2192,-1,1,0.0,0,0,0,0,0.0,13.333,0.0,0.0,18.182,0.0,1,1,0
-1,88,1,1,1,1,2,1.0,1827,-1,1,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,1,0
-1,129,-1,1,1,1,1,-1.0,2192,-1,1,0.0,0,0,0,0,0.0,13.333,0.0,0.0,18.182,0.0,1,1,0
1,48,1,1,1,1,1,-1.0,2192,-1,1,0.0,0,0,0,0,0.0,13.333,0.0,0.0,18.182,0.0,1,1,0
1,46,1,1,1,1,1,1.0,2557,-1,1,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,1,0
1,43,1,1,1,1,1,1.0,2557,-1,1,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,1,0
1,34,-1,1,1,1,2,1.0,1096,-1,1,0.0,0,0,0,0,0.0,0.0,0.0,0.0,100.0,0.0,-1,1,0
