Having_IP_Address,URL_Length,Shortening_Service,Having_At_Symbol,Double_Slash_Redirecting,Prefix_Suffix,Having_Sub_Domain,SSLfinal_State,Domain_registeration_length,Favicon,HTTPS_Token,PctImageTags,PctAudioTags,PctVideoTags,PctTrackTags,PctSourceTags,PctIframeTags,URL_of_Anchor,PctMetaTags,PctScriptTags,PctLinkTags,SFH,Submit_to_Email,Abnormal Url,Port
-1,99,1,1,1,1,1,1.0,366,-1,1,0.0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,1,0
-1,249,1,1,1,1,2,-1.0,0,-1,1,0.0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0,0
-1,31,-1,1,1,1,2,1.0,0,-1,1,100.0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0,0
1,37,1,1,1,1,1,-1.0,1461,-1,1,100.0,0,0,0,0,0,100.0,0.0,100.0,100.0,0.0,1,1,0
-1,166,1,1,1,1,1,,1461,-1,1,0.0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,1,0
-1,142,1,1,1,1,1,,1461,-1,1,0.0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,1,0
1,96,-1,-1,1,1,3,-1.0,365,-1,1,0.0,0,0,0,0,0,30.769,0.0,0.0,18.182,0.0,1,1,0
-1,155,1,1,1,1,1,,366,-1,1,0.0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,1,0
-1,82,1,1,1,1,2,1.0,366,1,1,100.0,0,0,0,0,0,100.0,0.0,0.0,100.0,50.0,1,1,0
1,36,-1,1,1,1,2,1.0,366,1,1,100.0,0,0,0,0,0,100.0,0.0,0.0,100.0,50.0,1,1,0
1,59,1,1,1,1,1,1.0,2192,1,1,100.0,0,0,0,0,0,100.0,0.0,0.0,100.0,0.0,1,1,0
-1,63,1,1,1,1,1,1.0,2192,1,1,100.0,0,0,0,0,0,0.0,0.0,100.0,100.0,0.0,0,1,0
1,58,1,1,1,1,2,1.0,5367,-1,1,0.0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,1,0
1,42,-1,1,1,1,2,-1.0,8400,1,1,0.0,0,0,0,0,0,0.0,0.0,100.0,100.0,0.0,1,1,0
-1,52,1,1,1,1,1,0.0,8401,-1,1,0.0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,1,0
-1,211,1,1,1,1,1,-1.0,1461,-1,1,0.0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,1,0
-1,63,1,1,1,1,1,1.0,5844,-1,1,0.0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,1,0
1,58,1,1,1,1,1,1.0,5844,-1,1,0.0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,1,0
-1,22,-1,1,1,1,1,1.0,0,1,1,0.0,0,0,0,0,0,60.0,0.0,0.0,100.0,0.0,1,1,0
-1,41,1,1,1,1,2,1.0,2191,-1,1,100.0,0,0,0,0,0,100.0,0.0,100.0,100.0,0.0,1,1,0
-1,38,1,1,1,1,2,1.0,2191,-1,1,100.0,0,0,0,0,0,100.0,0.0,100.0,100.0,0.0,1,1,0
-1,44,1,1,1,1,2,1.0,2191,-1,1,100.0,0,0,0,0,0,100.0,0.0,100.0,100.0,0.0,1,1,0
-1,34,1,1,1,1,2,1.0,2191,-1,1,100.0,0,0,0,0,0,100.0,0.0,100.0,100.0,0.0,1,1,0
-1,36,1,1,1,1,2,1.0,2191,-1,1,100.0,0,0,0,0,0,100.0,0.0,100.0,100.0,0.0,1,1,0
